spot_index,obs_name,x,y,spatial_domain,original_barcode,spfac_1,spfac_2,spfac_3,spfac_4,rna_nsfac_1,adt_nsfac_1,rna_nsfac_2,adt_nsfac_2,rna_nsfac_3,adt_nsfac_3,spatial_x,spatial_y,section,stage
116,5,-1.4285715,2.0000052,background,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4285715,2.0000052,Simulation3,Simulation3
117,372,-0.6285715,0.85714805,sp1,372,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.6285715,0.85714805,Simulation3,Simulation3
118,917,-0.057142854,-0.8571378,background,917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.057142854,-0.8571378,Simulation3,Simulation3
119,277,0.8571429,1.2000052,background,277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8571429,1.2000052,Simulation3,Simulation3
120,388,1.2,0.85714805,background,388,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,0.85714805,Simulation3,Simulation3
121,153,-0.97142863,1.5428623,sp1,153,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.97142863,1.5428623,Simulation3,Simulation3
122,1141,0.8571429,-1.542852,sp4,1141,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8571429,-1.542852,Simulation3,Simulation3
123,102,1.4285715,1.7714337,sp2,102,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.4285715,1.7714337,Simulation3,Simulation3
124,908,-1.0857143,-0.8571378,sp3,908,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0857143,-0.8571378,Simulation3,Simulation3
125,634,0.5142858,0.0571481,sp2,634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142858,0.0571481,Simulation3,Simulation3
126,35,2.0,2.0000052,sp2,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0000052,Simulation3,Simulation3
127,909,-0.97142863,-0.8571378,sp3,909,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.97142863,-0.8571378,Simulation3,Simulation3
128,1233,-0.97142863,-1.8857092,sp3,1233,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.97142863,-1.8857092,Simulation3,Simulation3
129,26,0.97142863,2.0000052,sp2,26,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.97142863,2.0000052,Simulation3,Simulation3
130,1040,1.6571429,-1.1999949,background,1040,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6571429,-1.1999949,Simulation3,Simulation3
131,497,1.3142858,0.5142909,sp2,497,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3142858,0.5142909,Simulation3,Simulation3
132,436,-1.5428572,0.62857664,background,436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5428572,0.62857664,Simulation3,Simulation3
133,159,-0.28571427,1.5428623,background,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28571427,1.5428623,Simulation3,Simulation3
134,695,-0.7428572,-0.17142344,background,695,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-0.7428572,-0.17142344,Simulation3,Simulation3
135,1150,1.8857143,-1.542852,background,1150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8857143,-1.542852,Simulation3,Simulation3
136,732,-0.6285715,-0.28570914,background,732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6285715,-0.28570914,Simulation3,Simulation3
137,1182,1.4285715,-1.6571378,background,1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285715,-1.6571378,Simulation3,Simulation3
138,438,-1.3142858,0.62857664,sp1,438,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3142858,0.62857664,Simulation3,Simulation3
139,804,-0.6285715,-0.5142807,background,804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6285715,-0.5142807,Simulation3,Simulation3
140,534,1.4285715,0.40000522,sp2,534,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4285715,0.40000522,Simulation3,Simulation3
141,322,1.8857143,1.0857195,sp2,322,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8857143,1.0857195,Simulation3,Simulation3
142,567,1.0857143,0.2857195,sp2,567,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0857143,0.2857195,Simulation3,Simulation3
143,801,-0.97142863,-0.5142807,background,801,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.97142863,-0.5142807,Simulation3,Simulation3
144,1053,-0.97142863,-1.3142806,sp3,1053,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.97142863,-1.3142806,Simulation3,Simulation3
145,97,0.8571429,1.7714337,sp2,97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8571429,1.7714337,Simulation3,Simulation3
146,165,0.4000001,1.5428623,sp2,165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000001,1.5428623,Simulation3,Simulation3
147,1105,0.8571429,-1.4285663,sp4,1105,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8571429,-1.4285663,Simulation3,Simulation3
148,1269,-0.97142863,-1.9999949,sp3,1269,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.97142863,-1.9999949,Simulation3,Simulation3
149,213,1.7714286,1.4285766,sp2,213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7714286,1.4285766,Simulation3,Simulation3
150,685,-1.8857143,-0.17142344,sp3,685,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.8857143,-0.17142344,Simulation3,Simulation3
151,1142,0.97142863,-1.542852,sp4,1142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.97142863,-1.542852,Simulation3,Simulation3
152,633,0.4000001,0.0571481,sp2,633,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4000001,0.0571481,Simulation3,Simulation3
153,588,-0.6285715,0.1714338,background,588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6285715,0.1714338,Simulation3,Simulation3
154,940,-1.5428572,-0.9714235,sp3,940,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.5428572,-0.9714235,Simulation3,Simulation3
155,1240,-0.17142856,-1.8857092,sp3,1240,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17142856,-1.8857092,Simulation3,Simulation3
156,824,1.6571429,-0.5142807,sp4,824,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6571429,-0.5142807,Simulation3,Simulation3
